File,Cluster
01-MFCC.csv,2
02-MFCC.csv,2
03-MFCC.csv,5
04-MFCC.csv,1
05-MFCC.csv,3
06-MFCC.csv,0
07-MFCC.csv,0
08-MFCC.csv,4
09-MFCC.csv,3
10-MFCC.csv,4
100-MFCC.csv,3
101-MFCC.csv,0
102-MFCC.csv,4
103-MFCC.csv,5
104-MFCC.csv,4
105-MFCC.csv,4
106-MFCC.csv,0
107-MFCC.csv,2
108-MFCC.csv,2
109-MFCC.csv,1
11-MFCC.csv,4
110-MFCC.csv,0
111-MFCC.csv,3
112-MFCC.csv,4
113-MFCC.csv,4
114-MFCC.csv,0
115-MFCC.csv,4
116-MFCC.csv,3
12-MFCC.csv,1
13-MFCC.csv,1
14-MFCC.csv,4
15-MFCC.csv,0
16-MFCC.csv,2
17-MFCC.csv,2
18-MFCC.csv,3
19-MFCC.csv,4
20-MFCC.csv,5
21-MFCC.csv,0
22-MFCC.csv,0
23-MFCC.csv,4
24-MFCC.csv,1
25-MFCC.csv,4
26-MFCC.csv,3
27-MFCC.csv,2
28-MFCC.csv,3
29-MFCC.csv,3
30-MFCC.csv,4
31-MFCC.csv,0
32-MFCC.csv,1
33-MFCC.csv,4
34-MFCC.csv,0
35-MFCC.csv,2
36-MFCC.csv,0
37-MFCC.csv,0
38-MFCC.csv,4
39-MFCC.csv,4
40-MFCC.csv,4
41-MFCC.csv,4
42-MFCC.csv,4
43-MFCC.csv,4
44-MFCC.csv,5
45-MFCC.csv,2
46-MFCC.csv,3
47-MFCC.csv,1
48-MFCC.csv,0
49-MFCC.csv,1
50-MFCC.csv,3
51-MFCC.csv,3
52-MFCC.csv,1
53-MFCC.csv,4
54-MFCC.csv,0
55-MFCC.csv,0
56-MFCC.csv,4
57-MFCC.csv,0
58-MFCC.csv,0
59-MFCC.csv,3
60-MFCC.csv,0
61-MFCC.csv,2
62-MFCC.csv,4
63-MFCC.csv,3
64-MFCC.csv,4
65-MFCC.csv,0
66-MFCC.csv,3
67-MFCC.csv,2
68-MFCC.csv,0
69-MFCC.csv,4
70-MFCC.csv,1
71-MFCC.csv,4
72-MFCC.csv,4
73-MFCC.csv,1
74-MFCC.csv,1
75-MFCC.csv,2
76-MFCC.csv,4
77-MFCC.csv,4
78-MFCC.csv,5
79-MFCC.csv,1
80-MFCC.csv,3
81-MFCC.csv,2
82-MFCC.csv,3
83-MFCC.csv,3
84-MFCC.csv,3
85-MFCC.csv,4
86-MFCC.csv,4
87-MFCC.csv,2
88-MFCC.csv,0
89-MFCC.csv,4
90-MFCC.csv,2
91-MFCC.csv,4
92-MFCC.csv,0
93-MFCC.csv,3
94-MFCC.csv,4
95-MFCC.csv,2
96-MFCC.csv,3
97-MFCC.csv,3
98-MFCC.csv,0
99-MFCC.csv,1
