File,Cluster
01-MFCC.csv,3
02-MFCC.csv,3
03-MFCC.csv,3
04-MFCC.csv,0
05-MFCC.csv,3
06-MFCC.csv,0
07-MFCC.csv,0
08-MFCC.csv,0
09-MFCC.csv,0
10-MFCC.csv,1
100-MFCC.csv,0
101-MFCC.csv,0
102-MFCC.csv,2
103-MFCC.csv,0
104-MFCC.csv,0
105-MFCC.csv,2
106-MFCC.csv,3
107-MFCC.csv,0
108-MFCC.csv,5
109-MFCC.csv,0
11-MFCC.csv,3
110-MFCC.csv,0
111-MFCC.csv,3
112-MFCC.csv,3
113-MFCC.csv,0
114-MFCC.csv,3
115-MFCC.csv,0
116-MFCC.csv,3
12-MFCC.csv,0
13-MFCC.csv,3
14-MFCC.csv,0
15-MFCC.csv,0
16-MFCC.csv,0
17-MFCC.csv,3
18-MFCC.csv,3
19-MFCC.csv,3
20-MFCC.csv,3
21-MFCC.csv,0
22-MFCC.csv,0
23-MFCC.csv,0
24-MFCC.csv,3
25-MFCC.csv,0
26-MFCC.csv,0
27-MFCC.csv,5
28-MFCC.csv,3
29-MFCC.csv,0
30-MFCC.csv,3
31-MFCC.csv,3
32-MFCC.csv,0
33-MFCC.csv,0
34-MFCC.csv,3
35-MFCC.csv,3
36-MFCC.csv,3
37-MFCC.csv,0
38-MFCC.csv,2
39-MFCC.csv,3
40-MFCC.csv,0
41-MFCC.csv,0
42-MFCC.csv,3
43-MFCC.csv,3
44-MFCC.csv,0
45-MFCC.csv,0
46-MFCC.csv,0
47-MFCC.csv,0
48-MFCC.csv,3
49-MFCC.csv,0
50-MFCC.csv,0
51-MFCC.csv,3
52-MFCC.csv,3
53-MFCC.csv,3
54-MFCC.csv,0
55-MFCC.csv,3
56-MFCC.csv,3
57-MFCC.csv,0
58-MFCC.csv,3
59-MFCC.csv,0
60-MFCC.csv,0
61-MFCC.csv,0
62-MFCC.csv,0
63-MFCC.csv,0
64-MFCC.csv,0
65-MFCC.csv,3
66-MFCC.csv,0
67-MFCC.csv,3
68-MFCC.csv,0
69-MFCC.csv,3
70-MFCC.csv,0
71-MFCC.csv,3
72-MFCC.csv,0
73-MFCC.csv,0
74-MFCC.csv,4
75-MFCC.csv,3
76-MFCC.csv,0
77-MFCC.csv,3
78-MFCC.csv,0
79-MFCC.csv,0
80-MFCC.csv,3
81-MFCC.csv,0
82-MFCC.csv,0
83-MFCC.csv,3
84-MFCC.csv,0
85-MFCC.csv,0
86-MFCC.csv,3
87-MFCC.csv,0
88-MFCC.csv,0
89-MFCC.csv,0
90-MFCC.csv,5
91-MFCC.csv,3
92-MFCC.csv,3
93-MFCC.csv,0
94-MFCC.csv,0
95-MFCC.csv,0
96-MFCC.csv,3
97-MFCC.csv,0
98-MFCC.csv,3
99-MFCC.csv,0
