name,label,pathname
Michael Jackson - Beat It (Official 4K Video),0,songs/song_1_mfcc.csv
Michael Jackson - She's Trouble (Demo - Official Audio),0,songs/song_2_mfcc.csv
Michael Jackson - Sunset Driver (Demo - Official Audio),0,songs/song_3_mfcc.csv
Michael Jackson - Thriller (Official 4K Video),0,songs/song_4_mfcc.csv
Michael Jackson - Smooth Criminal | Dance Video,0,songs/song_5_mfcc.csv
Michael Jackson - Bad (Shortened Version),0,songs/song_6_mfcc.csv
Michael Jackson - Don’t Stop 'Til You Get Enough (Official Video),0,songs/song_7_mfcc.csv
Michael Jackson - Carousel (Official Audio),0,songs/song_8_mfcc.csv
Michael Jackson - Loving You (Official Audio),0,songs/song_9_mfcc.csv
Man in the Mirror (2012 Remaster),0,songs/song_10_mfcc.csv
Michael Jackson - Billie Jean (Official Video),0,songs/song_11_mfcc.csv
Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),0,songs/song_12_mfcc.csv
Black or White,0,songs/song_13_mfcc.csv
Michael Jackson - The Girl Is Mine (Audio),0,songs/song_14_mfcc.csv
Another Part of Me (2012 Remaster),0,songs/song_15_mfcc.csv
Michael Jackson - Speechless (Audio),0,songs/song_16_mfcc.csv
Michael Jackson - She Drives Me Wild (Audio),0,songs/song_17_mfcc.csv
Michael Jackson - Will You Be There (Official Video),0,songs/song_18_mfcc.csv
Michael Jackson - Human Nature (Audio),0,songs/song_19_mfcc.csv
Michael Jackson - Someone Put Your Hand Out (Audio),0,songs/song_20_mfcc.csv
Aaiye Meherbaan | Asha Bhosle  | Madhubala | Ashok Kumar  | Howrah Bridge-1958,1,songs/song_21_mfcc.csv
Mausam Mastana Rasta Anjana | Ranjeeta | Satte Pe Satta | Asha Bhosle | R.D. Burman,1,songs/song_22_mfcc.csv
Ye Hai Reshmi Zulfon Ka Andhera | Mere Sanam | Asha Bhonsle | Mumtaz,1,songs/song_23_mfcc.csv
Dum Maro Dum | Hare Rama Hare Krishna-1971 | Asha Bhosle | Zeenat Aman | Dev Anand,1,songs/song_24_mfcc.csv
Kya Ghazab Karte Ho Ji | Asha Bhosle | Love Story Songs | Kumar Gaurav | Vijeta Pandit | Aruna Irani,1,songs/song_25_mfcc.csv
Aaj Koi Pyar Se | Mumtaz | Asha Bhosle | Sawan Ki Ghata-1966 | Evergreen Songs,1,songs/song_26_mfcc.csv
Zindagi Ek Safar Hai Suhana | Andaz (1971) | Hema Malini | Rajesh Khanna | Asha Bhosle |,1,songs/song_27_mfcc.csv
Kaun Aaya Ki Nigahon Mein Chamak Jaag Uthi | Waqt | Sadhana | Asha Bhosle,1,songs/song_28_mfcc.csv
Chehare Pe Kushi Chhaa Jaati Hai | Waqt 1965 | Asha Bhosle | Sunil Dutt | Romantic Songs,1,songs/song_29_mfcc.csv
"Aao Na Gale Lagalo Na   Helan, Asha Bhosle, Mere Jeevan Saathi Song   YouTube",1,songs/song_30_mfcc.csv
Asha Bhosle - In Ankhon Ki Masti | Umrao Jaan | Ft - Monica Bellucci | Kazinama,1,songs/song_31_mfcc.csv
Koi Sehri Babu Dil Lehri Babu | Full 4K Video Song | Mumtaz - Loafer,1,songs/song_32_mfcc.csv
Bhanwara Bada Nadaan with lyrics | भँवरा बड़ा नादान गाने के बोल | Sahib Bibi Aur Ghulam,1,songs/song_33_mfcc.csv
Aao Huzoor Tumko with Lyrics by Asha Bhosle,1,songs/song_34_mfcc.csv
Umrao Jaan (1981): Dil Cheez Kya Hai Aap Meri Jaan Leejaye,1,songs/song_35_mfcc.csv
Raat Akeli Hai - Song | Jewel Thief (1967),1,songs/song_36_mfcc.csv
Jhumka Gira Re - Asha Bhosle,1,songs/song_37_mfcc.csv
O Saathi Re,1,songs/song_38_mfcc.csv
Hungama Ho Gaya,1,songs/song_39_mfcc.csv
Paan Khaye Saiyan Hamaro(Color) 1080P Revival Audio,1,songs/song_40_mfcc.csv
O MERE DIL KE CHAIN - Rajesh Khanna-Kishore Kumar Romantic Song - Tanuja - Mere Jeevan Saathi Songs,2,songs/song_41_mfcc.csv
Kora Kagaz Tha Yeh Man Mera 4K Video Song | Lata Mangeshkar| Kishore Kumar | Aradhana| Rajesh Khanna,2,songs/song_42_mfcc.csv
Yeh Shaam Mastani 4K | Kishore Kumar | Rajesh Khanna | Kati Patang | Classic Bollywood 4K Video Song,2,songs/song_43_mfcc.csv
Hum Dono Do Premi Song 4K Quality | Lata Mangeshkar | Kishore Kumar | Rajesh Khanna | Zeenat Aman,2,songs/song_44_mfcc.csv
Mere Sapno Ki Rani 4K Song : मेरे सपनो की रानी | आराधना | राजेश खन्ना - शर्मिला टैगोर - किशोर कुमार,2,songs/song_45_mfcc.csv
"आपकी आँखों में कुछ 4K Song: Ghar | Kishore K, Lata Mangeshkar | R D Burman Hits | Vinod Mehra, Rekha",2,songs/song_46_mfcc.csv
